ArtDerFestlegung_schluessel,ArtDerFestlegung_bezeichnung,AAA-Beschreibung,alias,StelleZustaendigeDienststelle,Name
1150,Gemeindestraße,AX_KlassifizierungNachStrassenrecht,F8__30206,,
1150,Gemeindestraße,AX_KlassifizierungNachStrassenrecht,F8__30209,,
1150,Gemeindestraße,AX_KlassifizierungNachStrassenrecht,F8__30215,,
1150,Gemeindestraße,AX_KlassifizierungNachStrassenrecht,F8__30218,,
1150,Gemeindestraße,AX_KlassifizierungNachStrassenrecht,F8__30220,,
1100,Klassifizierung nach Bundes- oder Landesstraßengesetz,AX_KlassifizierungNachStrassenrecht,F8__30221,,
1150,Gemeindestraße,AX_KlassifizierungNachStrassenrecht,F8__30231,,
1100,Klassifizierung nach Bundes- oder Landesstraßengesetz,AX_KlassifizierungNachStrassenrecht,F8__30236,,
1150,Gemeindestraße,AX_KlassifizierungNachStrassenrecht,F8__30243,,
1150,Gemeindestraße,AX_KlassifizierungNachStrassenrecht,F8__30246,,
1150,Gemeindestraße,AX_KlassifizierungNachStrassenrecht,F8__30251,,
1150,Gemeindestraße,AX_KlassifizierungNachStrassenrecht,F8__30252,,
1150,Gemeindestraße,AX_KlassifizierungNachStrassenrecht,F8__30264,,
1100,Klassifizierung nach Bundes- oder Landesstraßengesetz,AX_KlassifizierungNachStrassenrecht,F8__30276,,
1150,Gemeindestraße,AX_KlassifizierungNachStrassenrecht,F8__30278,,
1150,Gemeindestraße,AX_KlassifizierungNachStrassenrecht,F8__30282,,
1150,Gemeindestraße,AX_KlassifizierungNachStrassenrecht,F8__30285,,
1150,Gemeindestraße,AX_KlassifizierungNachStrassenrecht,F8__30289,,
1150,Gemeindestraße,AX_KlassifizierungNachStrassenrecht,F8__30290,,
1150,Gemeindestraße,AX_KlassifizierungNachStrassenrecht,F8__30296,,
1150,Gemeindestraße,AX_KlassifizierungNachStrassenrecht,F8__30297,,
1150,Gemeindestraße,AX_KlassifizierungNachStrassenrecht,F8__30298,,
1150,Gemeindestraße,AX_KlassifizierungNachStrassenrecht,F8__30299,,
1150,Gemeindestraße,AX_KlassifizierungNachStrassenrecht,F8__30304,,
1100,Klassifizierung nach Bundes- oder Landesstraßengesetz,AX_KlassifizierungNachStrassenrecht,F8__30312,,
1150,Gemeindestraße,AX_KlassifizierungNachStrassenrecht,F8__30318,,
1150,Gemeindestraße,AX_KlassifizierungNachStrassenrecht,F8__30327,,
1150,Gemeindestraße,AX_KlassifizierungNachStrassenrecht,F8__30329,,
1150,Gemeindestraße,AX_KlassifizierungNachStrassenrecht,F8__30334,,
1150,Gemeindestraße,AX_KlassifizierungNachStrassenrecht,F8__30336,,
1150,Gemeindestraße,AX_KlassifizierungNachStrassenrecht,F8__30337,,
1150,Gemeindestraße,AX_KlassifizierungNachStrassenrecht,F8__30338,,
1150,Gemeindestraße,AX_KlassifizierungNachStrassenrecht,F8__30339,,
1150,Gemeindestraße,AX_KlassifizierungNachStrassenrecht,F8__30349,,
1150,Gemeindestraße,AX_KlassifizierungNachStrassenrecht,F8__30351,,
1150,Gemeindestraße,AX_KlassifizierungNachStrassenrecht,F8__30360,,
1150,Gemeindestraße,AX_KlassifizierungNachStrassenrecht,F8__30361,,
1150,Gemeindestraße,AX_KlassifizierungNachStrassenrecht,F8__30365,,
1150,Gemeindestraße,AX_KlassifizierungNachStrassenrecht,F8__30369,,
1150,Gemeindestraße,AX_KlassifizierungNachStrassenrecht,F8__30370,,
1150,Gemeindestraße,AX_KlassifizierungNachStrassenrecht,F8__30374,,
1150,Gemeindestraße,AX_KlassifizierungNachStrassenrecht,F8__30377,,
1150,Gemeindestraße,AX_KlassifizierungNachStrassenrecht,F8__30378,,
1150,Gemeindestraße,AX_KlassifizierungNachStrassenrecht,F8__30401,,
1150,Gemeindestraße,AX_KlassifizierungNachStrassenrecht,F8__30403,,
1150,Gemeindestraße,AX_KlassifizierungNachStrassenrecht,F8__30411,,
1150,Gemeindestraße,AX_KlassifizierungNachStrassenrecht,F8__30412,,
1150,Gemeindestraße,AX_KlassifizierungNachStrassenrecht,F8__30413,,
1150,Gemeindestraße,AX_KlassifizierungNachStrassenrecht,F8__30415,,
1150,Gemeindestraße,AX_KlassifizierungNachStrassenrecht,F8__30417,,
1150,Gemeindestraße,AX_KlassifizierungNachStrassenrecht,F8__30420,,
1150,Gemeindestraße,AX_KlassifizierungNachStrassenrecht,F8__30425,,
1150,Gemeindestraße,AX_KlassifizierungNachStrassenrecht,F8__30432,,
1150,Gemeindestraße,AX_KlassifizierungNachStrassenrecht,F8__30436,,
1150,Gemeindestraße,AX_KlassifizierungNachStrassenrecht,F8__30444,,
