Beschaffenheit_schluessel,Beschaffenheit_bezeichnung,AAA-Beschreibung,alias
1000,Offene Gebäudelinie,AX_BesondereGebaeudelinie,F12__13320
1000,Offene Gebäudelinie,AX_BesondereGebaeudelinie,F12__13337
1000,Offene Gebäudelinie,AX_BesondereGebaeudelinie,F12__13338
1000,Offene Gebäudelinie,AX_BesondereGebaeudelinie,F12__13344
1000,Offene Gebäudelinie,AX_BesondereGebaeudelinie,F12__13369
1000,Offene Gebäudelinie,AX_BesondereGebaeudelinie,F12__13370
1000,Offene Gebäudelinie,AX_BesondereGebaeudelinie,F12__13382
1000,Offene Gebäudelinie,AX_BesondereGebaeudelinie,F12__13383
1000,Offene Gebäudelinie,AX_BesondereGebaeudelinie,F12__13391
1000,Offene Gebäudelinie,AX_BesondereGebaeudelinie,F12__13404
1000,Offene Gebäudelinie,AX_BesondereGebaeudelinie,F12__13416
1000,Offene Gebäudelinie,AX_BesondereGebaeudelinie,F12__13417
1000,Offene Gebäudelinie,AX_BesondereGebaeudelinie,F12__13421
1000,Offene Gebäudelinie,AX_BesondereGebaeudelinie,F12__13424
1000,Offene Gebäudelinie,AX_BesondereGebaeudelinie,F12__13425
1000,Offene Gebäudelinie,AX_BesondereGebaeudelinie,F12__13436
1000,Offene Gebäudelinie,AX_BesondereGebaeudelinie,F12__13440
1000,Offene Gebäudelinie,AX_BesondereGebaeudelinie,F12__13441
1000,Offene Gebäudelinie,AX_BesondereGebaeudelinie,F12__13444
1000,Offene Gebäudelinie,AX_BesondereGebaeudelinie,F12__13460
1000,Offene Gebäudelinie,AX_BesondereGebaeudelinie,F12__13461
1000,Offene Gebäudelinie,AX_BesondereGebaeudelinie,F12__13466
1000,Offene Gebäudelinie,AX_BesondereGebaeudelinie,F12__13479
1000,Offene Gebäudelinie,AX_BesondereGebaeudelinie,F12__13488
1000,Offene Gebäudelinie,AX_BesondereGebaeudelinie,F12__13491
1000,Offene Gebäudelinie,AX_BesondereGebaeudelinie,F12__13493
1000,Offene Gebäudelinie,AX_BesondereGebaeudelinie,F12__13502
1000,Offene Gebäudelinie,AX_BesondereGebaeudelinie,F12__13503
1000,Offene Gebäudelinie,AX_BesondereGebaeudelinie,F12__13505
1000,Offene Gebäudelinie,AX_BesondereGebaeudelinie,F12__13507
1000,Offene Gebäudelinie,AX_BesondereGebaeudelinie,F12__13509
1000,Offene Gebäudelinie,AX_BesondereGebaeudelinie,F12__13516
1000,Offene Gebäudelinie,AX_BesondereGebaeudelinie,F12__13518
1000,Offene Gebäudelinie,AX_BesondereGebaeudelinie,F12__13523
1000,Offene Gebäudelinie,AX_BesondereGebaeudelinie,F12__13525
1000,Offene Gebäudelinie,AX_BesondereGebaeudelinie,F12__13533
1000,Offene Gebäudelinie,AX_BesondereGebaeudelinie,F12__13536
1000,Offene Gebäudelinie,AX_BesondereGebaeudelinie,F12__13540
1000,Offene Gebäudelinie,AX_BesondereGebaeudelinie,F12__13543
1000,Offene Gebäudelinie,AX_BesondereGebaeudelinie,F12__13558
1000,Offene Gebäudelinie,AX_BesondereGebaeudelinie,F12__13561
1000,Offene Gebäudelinie,AX_BesondereGebaeudelinie,F12__13571
1000,Offene Gebäudelinie,AX_BesondereGebaeudelinie,F12__13581
4000,Trennlinie nicht eindeutig festgelegt,AX_BesondereGebaeudelinie,F12__13582
1000,Offene Gebäudelinie,AX_BesondereGebaeudelinie,F12__13583
1000,Offene Gebäudelinie,AX_BesondereGebaeudelinie,F12__13586
1000,Offene Gebäudelinie,AX_BesondereGebaeudelinie,F12__13591
1000,Offene Gebäudelinie,AX_BesondereGebaeudelinie,F12__13605
1000,Offene Gebäudelinie,AX_BesondereGebaeudelinie,F12__13609
1000,Offene Gebäudelinie,AX_BesondereGebaeudelinie,F12__13622
1000,Offene Gebäudelinie,AX_BesondereGebaeudelinie,F12__13628
1000,Offene Gebäudelinie,AX_BesondereGebaeudelinie,F12__13682
