AAA-Beschreibung,AmtlicheFlaeche,Flurstuecks_kennzOhneFolge,Gemarkung_name,Gemeindekennzeichen,ZeitpunktDerEntstehung,alias
AX_Flurstueck,59,11000700500711____,Charlottenburg,11000004,20020101,F10__11943
AX_Flurstueck,1300,110007004002460001,Charlottenburg,11000004,19600101,F10__11957
AX_Flurstueck,431,110007011000690007,Charlottenburg,11000004,19650101,F10__11982
AX_Flurstueck,296,11000700600405____,Charlottenburg,11000004,20050101,F10__11983
AX_Flurstueck,1073,110007004002350003,Charlottenburg,11000004,19530101,F10__11988
AX_Flurstueck,5313,11000700500576____,Charlottenburg,11000004,19890101,F10__12009
AX_Flurstueck,934,110007011023790109,Charlottenburg,11000004,19100101,F10__12025
AX_Flurstueck,782,110007005057640212,Charlottenburg,11000004,19070101,F10__12028
AX_Flurstueck,1109,110007004002500026,Charlottenburg,11000004,19590101,F10__12051
AX_Flurstueck,933,11000701100408____,Charlottenburg,11000004,20080101,F10__12055
AX_Flurstueck,2547,11000701100392____,Charlottenburg,11000004,20020101,F10__12074
AX_Flurstueck,609,110007004049780236,Charlottenburg,11000004,19070101,F10__12075
AX_Flurstueck,832,110007005053320163,Charlottenburg,11000004,19050101,F10__12081
AX_Flurstueck,4306,110007011001340002,Charlottenburg,11000004,19650101,F10__12100
AX_Flurstueck,113,11000700500620____,Charlottenburg,11000004,19930101,F10__12112
AX_Flurstueck,911,110007011023630110,Charlottenburg,11000004,19100101,F10__12130
AX_Flurstueck,3619,11000700600390____,Charlottenburg,11000004,20050101,F10__12132
AX_Flurstueck,13631,11000700401216____,Charlottenburg,11000004,20110101,F10__12136
AX_Flurstueck,836,11000700401159____,Charlottenburg,11000004,20000101,F10__12140
AX_Flurstueck,1223,110007004051080333,Charlottenburg,11000004,19080101,F10__12147
AX_Flurstueck,509,110007010014570075,Charlottenburg,11000004,19300101,F10__12155
AX_Flurstueck,836,11000701000427____,Charlottenburg,11000004,20020101,F10__12164
AX_Flurstueck,2185,110007005001630009,Charlottenburg,11000004,19690101,F10__12167
AX_Flurstueck,53,11000700500690____,Charlottenburg,11000004,19990101,F10__12170
AX_Flurstueck,1028,110007004041190241,Charlottenburg,11000004,19030101,F10__12187
AX_Flurstueck,2277,11000700600423____,Charlottenburg,11000004,20070101,F10__12207
AX_Flurstueck,800,110007005061610159,Charlottenburg,11000004,19280101,F10__12214
AX_Flurstueck,11009,11000700600412____,Charlottenburg,11000004,20050101,F10__12242
AX_Flurstueck,967,110007005037720170,Charlottenburg,11000004,18980101,F10__12244
AX_Flurstueck,2770,11000701100377____,Charlottenburg,11000004,19980101,F10__12253
AX_Flurstueck,878,11000700600319____,Charlottenburg,11000004,20010101,F10__12256
AX_Flurstueck,6,110007011000130015,Charlottenburg,11000004,19730101,F10__12272
AX_Flurstueck,359,11000701100263____,Charlottenburg,11000004,19820101,F10__12283
AX_Flurstueck,3489,11000700400712____,Charlottenburg,11000004,19810101,F10__12300
AX_Flurstueck,1051,110007004002710004,Charlottenburg,11000004,19510101,F10__12307
AX_Flurstueck,4045,11000701100373____,Charlottenburg,11000004,19920101,F10__12309
AX_Flurstueck,489,110007005001650003,Charlottenburg,11000004,19510101,F10__12324
AX_Flurstueck,2793,110007005002060003,Charlottenburg,11000004,19530101,F10__12333
AX_Flurstueck,1119,110007005045610041,Charlottenburg,11000004,19010101,F10__12334
AX_Flurstueck,6858,11000700400734____,Charlottenburg,11000004,19800101,F10__12338
AX_Flurstueck,65,11000701100441____,Charlottenburg,11000004,20110101,F10__12340
AX_Flurstueck,2888,11000700400698____,Charlottenburg,11000004,19800101,F10__12341
AX_Flurstueck,737,110007004028920271,Charlottenburg,11000004,18940101,F10__12345
AX_Flurstueck,679,110007010014070075,Charlottenburg,11000004,19300101,F10__12368
AX_Flurstueck,356,11000700600383____,Charlottenburg,11000004,20050101,F10__12380
AX_Flurstueck,596,110007005000480003,Charlottenburg,11000004,19580101,F10__12382
AX_Flurstueck,569,110007005000410013,Charlottenburg,11000004,19550101,F10__12388
AX_Flurstueck,12574,11000700401025____,Charlottenburg,11000004,19880101,F10__12391
AX_Flurstueck,885,11000700401161____,Charlottenburg,11000004,20000101,F10__12396
AX_Flurstueck,468,11000701100438____,Charlottenburg,11000004,20110101,F10__12397
