B_LINK_ID,LAENGE,HS_EM_2009,SLKW,LLKW,KRAD,BUS,DTV,EM_NO2,EM_NOX,EM_PART,EM_PM10,EM_PM25,EM_BENZ,EM_CO,EM_CO2,EM_HC,EM_NM_HC,QUELLE,EINSTUFUNG,alias
2206,201,Bachstr.,248,1031,183,170,13048,1.44,7.85,0.23,1.06,0.68,0.48,37.44,2911.34,7.17,6.76,Daten der Verkehrserhebungen 2009 der Verkehrslenkung (VLB) Berlin,durchschnittlich,2086
2207,161,Bachstr.,248,1031,183,170,13048,1.44,7.85,0.23,1.06,0.68,0.48,37.44,2911.34,7.17,6.76,Daten der Verkehrserhebungen 2009 der Verkehrslenkung (VLB) Berlin,durchschnittlich,2087
2208,154,Bachstr.,248,1031,183,170,13048,1.41,7.71,0.23,1.02,0.66,0.47,37.31,2869.56,7.16,6.75,Daten der Verkehrserhebungen 2009 der Verkehrslenkung (VLB) Berlin,durchschnittlich,2088
2220,156,Str. des 17. Juni,922,3167,561,441,40090,4.33,24.07,0.74,3.32,2.13,1.47,114.86,8915.99,22.01,20.77,Daten der Verkehrserhebungen 2009 der Verkehrslenkung (VLB) Berlin,weit überdurchschnittlich,2099
2221,702,Str. des 17. Juni,922,3167,561,441,40090,4.33,24.07,0.74,3.32,2.13,1.47,114.86,8915.99,22.01,20.77,Daten der Verkehrserhebungen 2009 der Verkehrslenkung (VLB) Berlin,weit überdurchschnittlich,2100
2222,49,Str. des 17. Juni,922,3167,561,441,40090,4.32,24,0.74,3.29,2.11,1.47,114.8,8893.4,22.01,20.76,Daten der Verkehrserhebungen 2009 der Verkehrslenkung (VLB) Berlin,weit überdurchschnittlich,2101
2224,182,Altonaer Str.,494,1858,329,329,23514,2.62,14.39,0.43,1.9,1.22,0.86,67.23,5239.53,12.88,12.15,Daten der Verkehrserhebungen 2009 der Verkehrslenkung (VLB) Berlin,überdurchschnittlich,2103
2227,225,Lessingstr.,458,1696,321,160,22922,2.25,12.57,0.4,1.78,1.14,0.85,66.06,4962.96,12.68,11.96,Daten der Verkehrserhebungen 2009 der Verkehrslenkung (VLB) Berlin,überdurchschnittlich,2106
2228,116,Stromstr.,362,1577,298,170,21310,2.11,11.59,0.37,1.62,1.04,0.79,61.48,4609.18,11.8,11.13,Daten der Verkehrserhebungen 2009 der Verkehrslenkung (VLB) Berlin,durchschnittlich,2107
2229,144,Stromstr.,362,1577,298,170,21310,2.11,11.59,0.37,1.62,1.04,0.79,61.48,4609.18,11.8,11.13,Daten der Verkehrserhebungen 2009 der Verkehrslenkung (VLB) Berlin,durchschnittlich,2108
2230,77,Lessingbrücke,390,1696,321,160,22922,2.23,12.29,0.39,1.74,1.12,0.85,66.17,4939.29,12.71,11.99,Daten der Verkehrserhebungen 2009 der Verkehrslenkung (VLB) Berlin,überdurchschnittlich,2109
2231,201,Lessingstr.,390,1696,321,160,22922,2.23,12.29,0.39,1.74,1.12,0.85,66.17,4939.29,12.71,11.99,Daten der Verkehrserhebungen 2009 der Verkehrslenkung (VLB) Berlin,überdurchschnittlich,2110
2232,155,Turmstr.,330,1304,231,875,16512,3.06,15.75,0.35,1.65,1.05,0.58,46.55,4361,8.82,8.33,Daten der Verkehrserhebungen 2009 der Verkehrslenkung (VLB) Berlin,überdurchschnittlich,2111
2233,104,Turmstr.,330,1304,231,875,16512,3.06,15.75,0.35,1.65,1.05,0.58,46.55,4361,8.82,8.33,Daten der Verkehrserhebungen 2009 der Verkehrslenkung (VLB) Berlin,überdurchschnittlich,2112
2234,50,Turmstr.,320,1265,224,336,16008,1.99,10.72,0.3,1.34,0.86,0.58,45.67,3680.71,8.73,8.24,Daten der Verkehrserhebungen 2009 der Verkehrslenkung (VLB) Berlin,durchschnittlich,2113
2235,99,Turmstr.,337,1332,236,337,16854,2.07,11.15,0.31,1.41,0.9,0.61,48.12,3862.43,9.2,8.68,Daten der Verkehrserhebungen 2009 der Verkehrslenkung (VLB) Berlin,durchschnittlich,2114
2236,125,Turmstr.,337,1332,236,775,16854,2.88,14.93,0.34,1.61,1.02,0.59,47.55,4299.99,9.04,8.53,Daten der Verkehrserhebungen 2009 der Verkehrslenkung (VLB) Berlin,überdurchschnittlich,2115
2237,99,Alt-Moabit,439,1507,267,343,19080,2.3,12.56,0.36,1.61,1.03,0.69,54.46,4361.28,10.42,9.83,Daten der Verkehrserhebungen 2009 der Verkehrslenkung (VLB) Berlin,durchschnittlich,2116
2238,108,Alt-Moabit,439,1507,267,343,19080,2.3,12.56,0.36,1.61,1.03,0.69,54.46,4361.28,10.42,9.83,Daten der Verkehrserhebungen 2009 der Verkehrslenkung (VLB) Berlin,durchschnittlich,2117
2239,112,Alt-Moabit,439,1507,267,343,19080,2.3,12.56,0.36,1.61,1.03,0.69,54.46,4361.28,10.42,9.83,Daten der Verkehrserhebungen 2009 der Verkehrslenkung (VLB) Berlin,durchschnittlich,2118
2240,118,Brenner Str.,149,334,45,18,4519,0.42,2.52,0.08,0.35,0.22,0.16,12.77,957.04,2.44,2.3,ergänzende Modellrechnung 2009 der Verkehrsmanagementzentrale (VMZ) Berlin,(weit) unterdurchschnittlich,2119
2241,71,Siemensstr.,773,1424,246,70,17576,1.85,11.48,0.35,1.75,1.11,0.64,49.93,4079.73,9.62,9.08,Daten der Verkehrserhebungen 2009 der Verkehrslenkung (VLB) Berlin,überdurchschnittlich,2120
2242,185,Siemensstr.,967,1424,246,70,17576,1.92,12.35,0.37,1.86,1.18,0.63,49.62,4149.25,9.55,9.02,Daten der Verkehrserhebungen 2009 der Verkehrslenkung (VLB) Berlin,überdurchschnittlich,2121
2243,81,Siemensstr.,773,1424,246,70,17576,1.85,11.48,0.35,1.75,1.11,0.64,49.93,4079.73,9.62,9.08,Daten der Verkehrserhebungen 2009 der Verkehrslenkung (VLB) Berlin,überdurchschnittlich,2122
2244,130,Quitzowstr.,967,1424,246,70,17576,1.92,12.35,0.37,1.86,1.18,0.63,49.62,4149.25,9.55,9.02,Daten der Verkehrserhebungen 2009 der Verkehrslenkung (VLB) Berlin,überdurchschnittlich,2123
2246,362,Sylter Str.,311,897,120,12,11960,1.05,6.9,0.23,0.95,0.62,0.88,65.98,2766.51,13.23,12.5,Daten der Verkehrserhebungen 2009 der Verkehrslenkung (VLB) Berlin,durchschnittlich,2124
3825,125,Großer Stern,666,2466,466,500,33318,3.79,20.71,0.6,2.76,1.77,1.22,95.75,7516.67,18.35,17.31,ergänzende Modellrechnung 2009 der Verkehrsmanagementzentrale (VMZ) Berlin,weit überdurchschnittlich,3595
3827,218,Altonaer Str.,494,1858,329,306,23514,2.61,14.31,0.43,1.92,1.23,0.86,67.38,5252.71,12.9,12.17,Daten der Verkehrserhebungen 2009 der Verkehrslenkung (VLB) Berlin,überdurchschnittlich,3597
3828,367,Altonaer Str.,494,1858,329,306,23514,2.61,14.31,0.43,1.92,1.23,0.86,67.38,5252.71,12.9,12.17,Daten der Verkehrserhebungen 2009 der Verkehrslenkung (VLB) Berlin,überdurchschnittlich,3598
3829,55,Großer Stern,822,2536,480,480,34268,3.98,22.22,0.64,3.15,1.99,1.26,98.22,7982.95,18.93,17.86,ergänzende Modellrechnung 2009 der Verkehrsmanagementzentrale (VMZ) Berlin,weit überdurchschnittlich,3599
3830,125,Großer Stern,796,2453,464,464,33150,3.8,21.21,0.61,2.99,1.89,1.22,95.01,7617.07,18.28,17.24,ergänzende Modellrechnung 2009 der Verkehrsmanagementzentrale (VMZ) Berlin,weit überdurchschnittlich,3600
3837,463,Alt-Moabit,483,1660,294,609,21006,2.97,15.9,0.41,1.9,1.21,0.75,59.73,5054.19,11.39,10.75,Daten der Verkehrserhebungen 2009 der Verkehrslenkung (VLB) Berlin,überdurchschnittlich,3607
3838,249,Alt-Moabit,469,1543,274,879,19536,3.52,18.54,0.42,2.12,1.34,0.69,55.26,5252.07,10.55,9.95,Daten der Verkehrserhebungen 2009 der Verkehrslenkung (VLB) Berlin,überdurchschnittlich,3608
3839,105,Stromstr.,497,2182,387,166,27614,2.67,14.78,0.48,2.14,1.38,1.02,79.49,5951.24,15.26,14.4,Daten der Verkehrserhebungen 2009 der Verkehrslenkung (VLB) Berlin,überdurchschnittlich,3609
3840,148,Turmstr.,178,598,113,364,8078,1.31,6.9,0.15,0.71,0.46,0.28,22.63,1995.3,4.32,4.08,Daten der Verkehrserhebungen 2009 der Verkehrslenkung (VLB) Berlin,durchschnittlich,3610
3841,310,Turmstr.,178,598,113,364,8078,1.31,6.9,0.15,0.71,0.46,0.28,22.63,1995.3,4.32,4.08,Daten der Verkehrserhebungen 2009 der Verkehrslenkung (VLB) Berlin,durchschnittlich,3611
3843,200,Stromstr.,538,2362,419,448,29902,3.41,18.47,0.54,2.51,1.61,1.1,85.76,6754.07,16.44,15.51,Daten der Verkehrserhebungen 2009 der Verkehrslenkung (VLB) Berlin,überdurchschnittlich,3613
3846,76,Stromstr.,538,2362,419,448,29902,3.4,18.38,0.54,2.47,1.58,1.1,85.72,6725.39,16.43,15.5,Daten der Verkehrserhebungen 2009 der Verkehrslenkung (VLB) Berlin,überdurchschnittlich,3616
3847,185,Perleberger Str.,194,807,143,368,10214,1.52,8.01,0.19,0.89,0.57,0.36,28.87,2469.4,5.51,5.2,Daten der Verkehrserhebungen 2009 der Verkehrslenkung (VLB) Berlin,durchschnittlich,3617
3848,158,Perleberger Str.,194,807,143,368,10214,1.52,8.01,0.19,0.89,0.57,0.36,28.87,2469.4,5.51,5.2,Daten der Verkehrserhebungen 2009 der Verkehrslenkung (VLB) Berlin,durchschnittlich,3618
3849,338,Stromstr.,586,2205,391,167,27908,2.73,15.29,0.5,2.22,1.43,1.03,80.19,6046.16,15.4,14.53,Daten der Verkehrserhebungen 2009 der Verkehrslenkung (VLB) Berlin,überdurchschnittlich,3619
3853,190,Perleberger Str.,194,807,143,368,10214,1.52,8.01,0.19,0.89,0.57,0.36,28.87,2469.4,5.51,5.2,Daten der Verkehrserhebungen 2009 der Verkehrslenkung (VLB) Berlin,durchschnittlich,3622
3854,108,Perleberger Str.,194,807,143,368,10214,1.52,8.01,0.19,0.89,0.57,0.36,28.87,2469.4,5.51,5.2,Daten der Verkehrserhebungen 2009 der Verkehrslenkung (VLB) Berlin,durchschnittlich,3623
3858,41,An der Putlitzbrüc,896,2440,432,62,30886,2.88,16.95,0.56,2.6,1.66,1.14,88.42,6686.05,17.02,16.06,Daten der Verkehrserhebungen 2009 der Verkehrslenkung (VLB) Berlin,weit überdurchschnittlich,3624
3859,138,An der Putlitzbrüc,896,2440,432,93,30886,2.94,17.23,0.56,2.62,1.67,1.13,88.38,6719.48,17.01,16.05,Daten der Verkehrserhebungen 2009 der Verkehrslenkung (VLB) Berlin,weit überdurchschnittlich,3625
3860,995,Ellen-Epstein-Str.,555,1123,194,69,13868,1.42,8.6,0.27,1.23,0.79,0.5,39.39,3077.96,7.55,7.12,Daten der Verkehrserhebungen 2009 der Verkehrslenkung (VLB) Berlin,durchschnittlich,3626
3864,832,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,keine Info (IVU),(weit) unterdurchschnittlich,3629
3868,357,Nordufer,321,964,129,13,12857,1.12,7.37,0.24,1.02,0.66,0.95,70.99,2974.78,14.24,13.45,ergänzende Modellrechnung 2009 der Verkehrsmanagementzentrale (VMZ) Berlin,durchschnittlich,3630
3869,97,Föhrer Brücke,896,2440,432,62,30886,2.78,18.32,0.61,2.51,1.63,2.27,169.48,7130.79,34.06,32.17,Daten der Verkehrserhebungen 2009 der Verkehrslenkung (VLB) Berlin,überdurchschnittlich,3631
3870,171,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,keine Info (IVU),(weit) unterdurchschnittlich,3632
3873,604,Friedrich-Krause-U,134,826,112,34,11155,0.99,5.39,0.18,0.79,0.51,0.41,32.16,2355.91,6.15,5.8,ergänzende Modellrechnung 2009 der Verkehrsmanagementzentrale (VMZ) Berlin,durchschnittlich,3634
