AAA-Beschreibung,alias,Funktion_schluessel,Funktion_bezeichnung,Zustand_schluessel,Lagergut_schluessel,Lagergut_bezeichnung,Zustand_bezeichnung,Name,Bahnkategorie_schluessel,Bahnkategorie_bezeichnung
AX_SportFreizeitUndErholungsflaeche,F14__62324,4400,Grünanlage,,,,,,,
AX_SportFreizeitUndErholungsflaeche,F14__62337,4400,Grünanlage,,,,,,,
AX_SportFreizeitUndErholungsflaeche,F14__62340,4420,Park,,,,,,,
AX_SportFreizeitUndErholungsflaeche,F14__62363,4420,Park,,,,,,,
AX_SportFreizeitUndErholungsflaeche,F14__62374,4420,Park,,,,,Englischer Garten,,
AX_SportFreizeitUndErholungsflaeche,F14__62377,4400,Grünanlage,,,,,,,
AX_SportFreizeitUndErholungsflaeche,F14__62398,4420,Park,,,,,,,
AX_SportFreizeitUndErholungsflaeche,F14__62401,4400,Grünanlage,,,,,,,
AX_SportFreizeitUndErholungsflaeche,F14__62405,4400,Grünanlage,,,,,,,
AX_SportFreizeitUndErholungsflaeche,F14__62411,4400,Grünanlage,,,,,,,
AX_SportFreizeitUndErholungsflaeche,F14__62418,4400,Grünanlage,,,,,,,
AX_SportFreizeitUndErholungsflaeche,F14__62458,4420,Park,,,,,,,
AX_SportFreizeitUndErholungsflaeche,F14__62495,4400,Grünanlage,,,,,,,
AX_SportFreizeitUndErholungsflaeche,F14__62496,4400,Grünanlage,,,,,,,
AX_SportFreizeitUndErholungsflaeche,F14__62516,4420,Park,,,,,,,
AX_SportFreizeitUndErholungsflaeche,F14__62522,4420,Park,,,,,Kleiner Tiergarten,,
AX_SportFreizeitUndErholungsflaeche,F14__62523,4420,Park,,,,,S c h l o ß p a r k B e l l e v u e,,
AX_SportFreizeitUndErholungsflaeche,F14__62525,4460,Garten,,,,,,,
AX_SportFreizeitUndErholungsflaeche,F14__62526,4420,Park,,,,,,,
AX_SportFreizeitUndErholungsflaeche,F14__62536,4420,Park,,,,,,,
AX_SportFreizeitUndErholungsflaeche,F14__62538,4400,Grünanlage,,,,,,,
AX_SportFreizeitUndErholungsflaeche,F14__62547,4400,Grünanlage,,,,,,,
AX_SportFreizeitUndErholungsflaeche,F14__62548,4400,Grünanlage,,,,,,,
AX_SportFreizeitUndErholungsflaeche,F14__62552,4400,Grünanlage,,,,,,,
AX_SportFreizeitUndErholungsflaeche,F14__62553,4400,Grünanlage,,,,,,,
AX_SportFreizeitUndErholungsflaeche,F14__62555,4400,Grünanlage,,,,,,,
AX_SportFreizeitUndErholungsflaeche,F14__62567,4420,Park,,,,,,,
AX_SportFreizeitUndErholungsflaeche,F14__62576,4420,Park,,,,,,,
AX_SportFreizeitUndErholungsflaeche,F14__62603,4420,Park,,,,,,,
AX_SportFreizeitUndErholungsflaeche,F14__62610,4420,Park,,,,,,,
AX_SportFreizeitUndErholungsflaeche,F14__62612,4400,Grünanlage,,,,,,,
AX_SportFreizeitUndErholungsflaeche,F14__62619,4420,Park,,,,,,,
AX_SportFreizeitUndErholungsflaeche,F14__66028,4420,Park,,,,,,,
AX_SportFreizeitUndErholungsflaeche,F14__66056,4400,Grünanlage,,,,,,,
AX_Strassenverkehr,F14__69440,,,,,,,,,
AX_Strassenverkehr,F14__69519,,,,,,,,,
AX_Strassenverkehr,F14__69537,,,,,,,,,
AX_Strassenverkehr,F14__69570,,,,,,,,,
AX_Strassenverkehr,F14__69588,,,,,,,,,
AX_Strassenverkehr,F14__69603,,,,,,,an der Wegelystr.,,
AX_Strassenverkehr,F14__69688,,,,,,,,,
AX_Strassenverkehr,F14__69722,,,,,,,,,
AX_Strassenverkehr,F14__69875,,,,,,,,,
AX_Strassenverkehr,F14__69898,,,,,,,,,
AX_Strassenverkehr,F14__69913,,,,,,,,,
AX_Strassenverkehr,F14__69925,,,,,,,,,
AX_Strassenverkehr,F14__69931,,,,,,,,,
AX_Strassenverkehr,F14__69972,,,,,,,,,
AX_Strassenverkehr,F14__69984,,,,,,,,,
AX_Strassenverkehr,F14__69998,,,,,,,,,
AX_Strassenverkehr,F14__70023,,,,,,,,,
AX_Strassenverkehr,F14__70063,,,,,,,,,
AX_Strassenverkehr,F14__70081,,,,,,,,,
AX_Strassenverkehr,F14__70121,2311,Gebäude- und Freifläche zu Verkehrsanlagen Straße,,,,,,,
AX_Strassenverkehr,F14__70136,,,,,,,,,
AX_Strassenverkehr,F14__70138,,,,,,,,,
AX_Strassenverkehr,F14__70140,,,,,,,,,
AX_Strassenverkehr,F14__70147,,,,,,,,,
AX_Strassenverkehr,F14__70154,,,,,,,,,
AX_Strassenverkehr,F14__70165,,,,,,,,,
AX_Strassenverkehr,F14__70173,,,,,,,,,
AX_Strassenverkehr,F14__70375,,,,,,,,,
AX_Strassenverkehr,F14__70432,,,,,,,,,
AX_Strassenverkehr,F14__70440,,,,,,,,,
AX_Strassenverkehr,F14__70443,,,,,,,,,
AX_Strassenverkehr,F14__70467,,,,,,,,,
AX_Strassenverkehr,F14__70478,,,,,,,,,
AX_Strassenverkehr,F14__70485,,,,,,,,,
AX_Strassenverkehr,F14__70503,,,,,,,,,
AX_Strassenverkehr,F14__70506,,,,,,,,,
AX_Strassenverkehr,F14__70514,,,,,,,,,
AX_Strassenverkehr,F14__70516,,,,,,,,,
AX_Strassenverkehr,F14__70543,,,,,,,,,
AX_Strassenverkehr,F14__70554,,,,,,,,,
AX_Strassenverkehr,F14__70579,,,,,,,Bachstr.,,
AX_Strassenverkehr,F14__70588,,,,,,,,,
AX_Strassenverkehr,F14__70611,,,,,,,,,
AX_Strassenverkehr,F14__70621,,,,,,,,,
AX_Strassenverkehr,F14__70666,,,,,,,,,
AX_Strassenverkehr,F14__70709,2311,Gebäude- und Freifläche zu Verkehrsanlagen Straße,,,,,,,
AX_Strassenverkehr,F14__70713,,,,,,,,,
AX_Strassenverkehr,F14__70725,,,,,,,,,
AX_Strassenverkehr,F14__70729,,,,,,,,,
AX_Strassenverkehr,F14__70742,2311,Gebäude- und Freifläche zu Verkehrsanlagen Straße,,,,,,,
AX_Strassenverkehr,F14__70772,,,,,,,,,
AX_Strassenverkehr,F14__70821,,,,,,,an der Wegelystr.,,
AX_Strassenverkehr,F14__70823,,,,,,,,,
AX_Strassenverkehr,F14__70829,,,,,,,,,
AX_Strassenverkehr,F14__70856,,,,,,,,,
AX_Strassenverkehr,F14__70861,,,,,,,,,
AX_Strassenverkehr,F14__70866,,,,,,,,,
AX_Strassenverkehr,F14__70873,,,,,,,,,
AX_Strassenverkehr,F14__70894,,,,,,,,,
AX_Strassenverkehr,F14__70898,,,,,,,,,
AX_Strassenverkehr,F14__70926,,,,,,,,,
AX_Strassenverkehr,F14__70939,,,,,,,,,
AX_Strassenverkehr,F14__70947,,,,,,,,,
AX_Strassenverkehr,F14__70960,2311,Gebäude- und Freifläche zu Verkehrsanlagen Straße,,,,,,,
AX_Strassenverkehr,F14__70979,,,,,,,,,
AX_Strassenverkehr,F14__70987,,,,,,,,,
AX_Strassenverkehr,F14__70988,2311,Gebäude- und Freifläche zu Verkehrsanlagen Straße,,,,,,,
AX_Strassenverkehr,F14__71006,,,,,,,,,
AX_Strassenverkehr,F14__71009,,,,,,,,,
AX_Strassenverkehr,F14__71013,,,,,,,,,
AX_Strassenverkehr,F14__71016,,,,,,,,,
AX_Strassenverkehr,F14__71019,,,,,,,,,
AX_Strassenverkehr,F14__71025,,,,,,,,,
AX_Strassenverkehr,F14__71036,,,,,,,,,
AX_Strassenverkehr,F14__71038,,,,,,,,,
AX_Strassenverkehr,F14__71041,,,,,,,,,
AX_Strassenverkehr,F14__71072,2312,Verkehrsbegleitfläche Straße,,,,,,,
AX_Strassenverkehr,F14__71075,,,,,,,,,
AX_Strassenverkehr,F14__71092,,,,,,,,,
AX_Strassenverkehr,F14__71116,,,,,,,,,
AX_Strassenverkehr,F14__71117,,,,,,,,,
AX_Strassenverkehr,F14__71136,,,,,,,,,
AX_Strassenverkehr,F14__71156,,,,,,,,,
AX_Strassenverkehr,F14__71168,,,,,,,,,
AX_Strassenverkehr,F14__71179,,,,,,,,,
AX_Strassenverkehr,F14__71186,,,,,,,,,
AX_Strassenverkehr,F14__71213,,,,,,,,,
AX_Strassenverkehr,F14__71232,,,,,,,,,
AX_Strassenverkehr,F14__71248,,,,,,,,,
AX_Strassenverkehr,F14__71257,,,,,,,,,
AX_Strassenverkehr,F14__71258,,,,,,,,,
AX_Strassenverkehr,F14__71265,,,,,,,,,
AX_Strassenverkehr,F14__71271,2311,Gebäude- und Freifläche zu Verkehrsanlagen Straße,,,,,,,
AX_Strassenverkehr,F14__71289,,,,,,,Beusselstraße,,
AX_Strassenverkehr,F14__71302,,,,,,,,,
AX_Strassenverkehr,F14__71305,,,,,,,,,
AX_Strassenverkehr,F14__71339,,,,,,,,,
AX_Strassenverkehr,F14__71341,,,,,,,,,
AX_Strassenverkehr,F14__71351,,,,,,,,,
AX_Strassenverkehr,F14__71356,,,,,,,,,
AX_Strassenverkehr,F14__71363,,,,,,,,,
AX_Strassenverkehr,F14__71366,,,,,,,,,
AX_Strassenverkehr,F14__71379,,,,,,,,,
AX_Strassenverkehr,F14__71384,,,,,,,,,
AX_Strassenverkehr,F14__71398,,,,,,,,,
AX_Strassenverkehr,F14__71416,,,,,,,,,
AX_Strassenverkehr,F14__85430,,,,,,,,,
AX_Strassenverkehr,F14__85434,,,,,,,,,
AX_Strassenverkehr,F14__85435,,,,,,,,,
AX_Strassenverkehr,F14__85442,2311,Gebäude- und Freifläche zu Verkehrsanlagen Straße,,,,,,,
AX_Strassenverkehr,F14__85449,,,,,,,,,
AX_Strassenverkehr,F14__85468,,,,,,,,,
AX_Strassenverkehr,F14__85479,,,,,,,,,
AX_Strassenverkehr,F14__85495,,,,,,,,,
AX_Strassenverkehr,F14__85530,,,,,,,,,
AX_Strassenverkehr,F14__85533,,,,,,,,,
AX_Strassenverkehr,F14__85535,,,,,,,,,
AX_Strassenverkehr,F14__85538,,,,,,,,,
AX_Strassenverkehr,F14__85544,,,,,,,,,
AX_Strassenverkehr,F14__85558,,,,,,,,,
AX_Strassenverkehr,F14__85565,,,,,,,,,
AX_Strassenverkehr,F14__85594,,,,,,,,,
AX_Strassenverkehr,F14__85598,,,,,,,,,
AX_Strassenverkehr,F14__85606,,,,,,,,,
AX_Strassenverkehr,F14__85608,,,,,,,,,
AX_Strassenverkehr,F14__85613,,,,,,,,,
AX_Strassenverkehr,F14__85619,,,,,,,,,
AX_Strassenverkehr,F14__85640,,,,,,,,,
AX_Strassenverkehr,F14__85643,,,,,,,,,
AX_Strassenverkehr,F14__85656,,,,,,,,,
AX_Strassenverkehr,F14__85658,,,,,,,,,
AX_Strassenverkehr,F14__85667,,,,,,,,,
AX_Strassenverkehr,F14__85674,,,,,,,,,
AX_Strassenverkehr,F14__85684,,,,,,,,,
AX_Strassenverkehr,F14__85691,,,,,,,,,
AX_Strassenverkehr,F14__85693,,,,,,,,,
AX_Strassenverkehr,F14__85705,,,,,,,,,
AX_Strassenverkehr,F14__85717,,,,,,,,,
AX_Strassenverkehr,F14__85733,,,,,,,,,
AX_Strassenverkehr,F14__85744,,,,,,,,,
AX_Strassenverkehr,F14__85751,,,,,,,,,
AX_Strassenverkehr,F14__85759,,,,,,,,,
AX_Strassenverkehr,F14__85760,,,,,,,,,
AX_Strassenverkehr,F14__85763,,,,,,,,,
AX_Strassenverkehr,F14__85773,,,,,,,,,
AX_Strassenverkehr,F14__85776,,,,,,,,,
AX_Strassenverkehr,F14__85790,,,,,,,,,
AX_Strassenverkehr,F14__85791,,,,,,,,,
AX_Strassenverkehr,F14__85811,,,,,,,,,
AX_Strassenverkehr,F14__85815,,,,,,,,,
AX_Strassenverkehr,F14__85816,,,,,,,,,
AX_Strassenverkehr,F14__85822,,,,,,,,,
AX_Strassenverkehr,F14__85843,2312,Verkehrsbegleitfläche Straße,,,,,,,
AX_Strassenverkehr,F14__85852,,,,,,,,,
AX_Strassenverkehr,F14__85883,,,,,,,,,
AX_Strassenverkehr,F14__85898,,,,,,,,,
AX_Strassenverkehr,F14__85899,,,,,,,,,
AX_Strassenverkehr,F14__85902,,,,,,,,,
AX_Strassenverkehr,F14__85905,,,,,,,,,
AX_Strassenverkehr,F14__85908,,,,,,,,,
AX_Strassenverkehr,F14__85909,,,,,,,,,
AX_Strassenverkehr,F14__85932,,,,,,,,,
AX_Strassenverkehr,F14__85934,,,,,,,,,
AX_Strassenverkehr,F14__85938,,,,,,,,,
AX_Strassenverkehr,F14__85943,,,,,,,,,
AX_Strassenverkehr,F14__85948,,,,,,,,,
AX_Strassenverkehr,F14__85949,,,,,,,,,
AX_Strassenverkehr,F14__85963,,,,,,,,,
AX_Strassenverkehr,F14__85965,,,,,,,,,
AX_Strassenverkehr,F14__85966,,,,,,,,,
AX_Strassenverkehr,F14__85977,,,,,,,,,
AX_Strassenverkehr,F14__85990,,,,,,,,,
AX_Strassenverkehr,F14__86000,,,,,,,,,
AX_Strassenverkehr,F14__86006,,,,,,,,,
AX_Strassenverkehr,F14__86009,,,,,,,,,
AX_Strassenverkehr,F14__86026,,,,,,,,,
AX_Strassenverkehr,F14__86028,2311,Gebäude- und Freifläche zu Verkehrsanlagen Straße,,,,,Hinter Turmstraße 39,,
