Art_schluessel,Art_bezeichnung,Erfassungsmethode_schluessel,Erfassungsmethode_bezeichnung,Erfassungsidentifikation_schluessel,Erfassungsidentifikation_bezeichnung,AAA-Beschreibung,alias
1230,Böschungsunterkante,5030,Digitalisierung analoger Vorlagen,5400,Sicher,AX_Gelaendekante,F15__102878
1230,Böschungsunterkante,5030,Digitalisierung analoger Vorlagen,5400,Sicher,AX_Gelaendekante,F15__102881
1230,Böschungsunterkante,5030,Digitalisierung analoger Vorlagen,5400,Sicher,AX_Gelaendekante,F15__102883
1220,Böschungsoberkante,5030,Digitalisierung analoger Vorlagen,5400,Sicher,AX_Gelaendekante,F15__102889
1220,Böschungsoberkante,5030,Digitalisierung analoger Vorlagen,5400,Sicher,AX_Gelaendekante,F15__102893
1230,Böschungsunterkante,5030,Digitalisierung analoger Vorlagen,5400,Sicher,AX_Gelaendekante,F15__102894
1220,Böschungsoberkante,5030,Digitalisierung analoger Vorlagen,5400,Sicher,AX_Gelaendekante,F15__102897
1220,Böschungsoberkante,5030,Digitalisierung analoger Vorlagen,5400,Sicher,AX_Gelaendekante,F15__102899
1230,Böschungsunterkante,5030,Digitalisierung analoger Vorlagen,5400,Sicher,AX_Gelaendekante,F15__102900
1220,Böschungsoberkante,5030,Digitalisierung analoger Vorlagen,5400,Sicher,AX_Gelaendekante,F15__102906
1230,Böschungsunterkante,5030,Digitalisierung analoger Vorlagen,5400,Sicher,AX_Gelaendekante,F15__102907
1220,Böschungsoberkante,5030,Digitalisierung analoger Vorlagen,5400,Sicher,AX_Gelaendekante,F15__102909
1220,Böschungsoberkante,5030,Digitalisierung analoger Vorlagen,5400,Sicher,AX_Gelaendekante,F15__102910
1220,Böschungsoberkante,5030,Digitalisierung analoger Vorlagen,5400,Sicher,AX_Gelaendekante,F15__102913
1230,Böschungsunterkante,5030,Digitalisierung analoger Vorlagen,5400,Sicher,AX_Gelaendekante,F15__102921
1240,Sonstige Begrenzungskante,5030,Digitalisierung analoger Vorlagen,5400,Sicher,AX_Gelaendekante,F15__102925
1230,Böschungsunterkante,5030,Digitalisierung analoger Vorlagen,5400,Sicher,AX_Gelaendekante,F15__102926
1240,Sonstige Begrenzungskante,5030,Digitalisierung analoger Vorlagen,5400,Sicher,AX_Gelaendekante,F15__102930
1230,Böschungsunterkante,5030,Digitalisierung analoger Vorlagen,5400,Sicher,AX_Gelaendekante,F15__102931
1240,Sonstige Begrenzungskante,5030,Digitalisierung analoger Vorlagen,5400,Sicher,AX_Gelaendekante,F15__102932
