AAA-Beschreibung,Beschreibung_schluessel,Bewuchs_bezeichnung,alias
AX_Vegetationsmerkmal,9998,Laubbaum,F7__11489
AX_Vegetationsmerkmal,9998,Laubbaum,F7__11491
AX_Vegetationsmerkmal,9998,Laubbaum,F7__11492
AX_Vegetationsmerkmal,9998,Laubbaum,F7__11498
AX_Vegetationsmerkmal,9998,Laubbaum,F7__11499
AX_Vegetationsmerkmal,9998,Laubbaum,F7__11500
AX_Vegetationsmerkmal,9998,Laubbaum,F7__11502
AX_Vegetationsmerkmal,9998,Laubbaum,F7__11503
AX_Vegetationsmerkmal,9998,Laubbaum,F7__11512
AX_Vegetationsmerkmal,9998,Laubbaum,F7__11515
AX_Vegetationsmerkmal,9998,Laubbaum,F7__11516
AX_Vegetationsmerkmal,9998,Laubbaum,F7__11521
AX_Vegetationsmerkmal,9998,Laubbaum,F7__11523
AX_Vegetationsmerkmal,9998,Laubbaum,F7__11525
AX_Vegetationsmerkmal,9998,Laubbaum,F7__11535
AX_Vegetationsmerkmal,9998,Laubbaum,F7__11542
AX_Vegetationsmerkmal,9998,Laubbaum,F7__11545
AX_Vegetationsmerkmal,9998,Laubbaum,F7__11551
AX_Vegetationsmerkmal,9998,Laubbaum,F7__11552
AX_Vegetationsmerkmal,9998,Laubbaum,F7__11557
AX_Vegetationsmerkmal,9998,Laubbaum,F7__11561
AX_Vegetationsmerkmal,9998,Laubbaum,F7__11562
AX_Vegetationsmerkmal,9998,Laubbaum,F7__11563
AX_Vegetationsmerkmal,9998,Laubbaum,F7__11568
AX_Vegetationsmerkmal,9998,Laubbaum,F7__11575
AX_Vegetationsmerkmal,9998,Laubbaum,F7__11577
AX_Vegetationsmerkmal,9998,Laubbaum,F7__11581
AX_Vegetationsmerkmal,9998,Laubbaum,F7__11587
AX_Vegetationsmerkmal,9998,Nadelbaum,F7__11589
AX_Vegetationsmerkmal,9998,Laubbaum,F7__11591
AX_Vegetationsmerkmal,9998,Laubbaum,F7__11593
AX_Vegetationsmerkmal,9998,Laubbaum,F7__11597
AX_Vegetationsmerkmal,9998,Laubbaum,F7__11599
AX_Vegetationsmerkmal,9998,Laubbaum,F7__11604
AX_Vegetationsmerkmal,9998,Laubbaum,F7__11613
AX_Vegetationsmerkmal,9998,Laubbaum,F7__11614
AX_Vegetationsmerkmal,9998,Laubbaum,F7__11617
AX_Vegetationsmerkmal,9998,Laubbaum,F7__11622
AX_Vegetationsmerkmal,9998,Laubbaum,F7__11623
AX_Vegetationsmerkmal,9998,Laubbaum,F7__11627
AX_Vegetationsmerkmal,9998,Laubbaum,F7__11628
AX_Vegetationsmerkmal,9998,Laubbaum,F7__11629
AX_Vegetationsmerkmal,9998,Laubbaum,F7__11632
AX_Vegetationsmerkmal,9998,Laubbaum,F7__11636
AX_Vegetationsmerkmal,9998,Laubbaum,F7__11646
