StandortNr,Kennzeich,NameNr,Art_Dtsch,Art_Bot,Gattung,ALK_Nr4st,StrName,HausNr,Pflanzjahr,Standalter,KroneDurch,Stammumfg,BaumHoehe,BEZIRK,Eigentuemer,alias,Zusatz
16/2,20209,Waldenserstraße,PYRAMIDEN-EICHE,QUERCUS ROBUR FASTIGIATA',QUERCUS,37,Waldenserstraße,16,1982,34,4.5,60,15,Mitte,Land Berlin,F3__932132,
7/3,20243,Essener Straße,ZWEIGRIFFLIGER WEISSDORN,CRATAEGUS LAEVIGATA,CRATAEGUS,16,Essener Straße,7,1994,22,5,35,6.5,Mitte,Land Berlin,F3__932133,016
7/1,20243,Essener Straße,ECHTER ROTDORN,CRATAEGUS LAEVIGATA PAUL'S SCARLET',CRATAEGUS,14,Essener Straße,7,1994,22,6,34,6,Mitte,Land Berlin,F3__932134,014
13/1,20434,Krefelder Straße,BAUM-HASEL - TÜRKISCHE HASEL,CORYLUS COLURNA,CORYLUS,22,Krefelder Straße,13,1990,26,6,130,8,Mitte,Land Berlin,F3__932135,
12/3,20434,Krefelder Straße,BAUM-HASEL - TÜRKISCHE HASEL,CORYLUS COLURNA,CORYLUS,21,Krefelder Straße,12,1988,28,6,92,8,Mitte,Land Berlin,F3__932136,
37/1,20467,Gotzkowskystraße,AMERIKANISCHE ROT-EICHE,QUERCUS RUBRA,QUERCUS,33,Gotzkowskystraße,37,1965,51,9,100,11,Mitte,Land Berlin,F3__932137,
1ggü/1,20202,Waldstraße,ZERR-EICHE,QUERCUS CERRIS,QUERCUS,252,Waldstraße,1,2007,9,2,24,6,Mitte,Land Berlin,F3__932138,ggü
2/1,20467,Gotzkowskystraße,AMERIKANISCHE ROT-EICHE,QUERCUS RUBRA,QUERCUS,2,Gotzkowskystraße,2,1985,31,7,50,6.5,Mitte,Land Berlin,F3__932139,
33-34/3,20208,Wiclefstraße,PYRAMIDEN-EICHE,QUERCUS ROBUR FASTIGIATA',QUERCUS,58,Wiclefstraße,33,1975,41,5,70,10,Mitte,Land Berlin,F3__932140,-34
32/3,20208,Wiclefstraße,PYRAMIDEN-EICHE,QUERCUS ROBUR FASTIGIATA',QUERCUS,54,Wiclefstraße,32,1975,41,8,85,15,Mitte,Land Berlin,F3__932141,
6ggü/4,20406,Bundesratufer,GEMEINE ROSSKASTANIE,AESCULUS HIPPOCASTANUM,AESCULUS,39,Bundesratufer,6,1938,78,11,217,17,Mitte,Land Berlin,F3__932142,ggü
9/1,20434,Krefelder Straße,ECHTER ROTDORN,CRATAEGUS LAEVIGATA PAUL'S SCARLET',CRATAEGUS,16,Krefelder Straße,9,1973,43,7,67,6,Mitte,Land Berlin,F3__932143,
68/1,20478,Turmstraße -doppelt-,BERG-AHORN -  WEISS-AHORN,ACER PSEUDOPLATANUS,ACER,73,Turmstraße,68,1990,26,6,40,8,Mitte,Land Berlin,F3__932144,
66/2,20478,Turmstraße -doppelt-,SPITZ-AHORN,ACER PLATANOIDES,ACER,72,Turmstraße,66,1975,41,9,75,9,Mitte,Land Berlin,F3__932145,
52ggü/1,20478,Turmstraße -doppelt-,CHINESISCHE WILD-BIRNE,PYRUS CALLERYANA CHANTICLEER',PYRUS,305,Turmstraße,52,2005,11,,30,4,Mitte,Land Berlin,F3__932146,ggü
20/1,20215,Jagowstraße,BERG-AHORN -  WEISS-AHORN,ACER PSEUDOPLATANUS,ACER,12,Jagowstraße,20,1965,51,15,105,13,Mitte,Land Berlin,F3__932147,
5/1,20236,Rostocker Straße,KLEINKRONIGE WINTER-LINDE,TILIA CORDATA RANCHO',TILIA,86,Rostocker Straße,5,2007,9,2,20,6,Mitte,Land Berlin,F3__932148,
2/2,20236,Rostocker Straße,KLEINKRONIGE WINTER-LINDE,TILIA CORDATA RANCHO',TILIA,85,Rostocker Straße,2,2007,9,2,20,6,Mitte,Land Berlin,F3__932149,
2/1,20236,Rostocker Straße,KLEINKRONIGE WINTER-LINDE,TILIA CORDATA RANCHO',TILIA,84,Rostocker Straße,2,2007,9,2,20,6,Mitte,Land Berlin,F3__932150,
50/3,20236,Rostocker Straße,FÄCHERBLATTBAUM,GINKGO BILOBA,GINKGO,48,Rostocker Straße,50,1990,26,4,45,9,Mitte,Land Berlin,F3__932151,
15/2,20467,Gotzkowskystraße,AMERIKANISCHE ROT-EICHE,QUERCUS RUBRA,QUERCUS,15,Gotzkowskystraße,15,1985,31,7,50,8,Mitte,Land Berlin,F3__932152,
31/2,20467,Gotzkowskystraße,AMERIKANISCHE ROT-EICHE,QUERCUS RUBRA,QUERCUS,27,Gotzkowskystraße,31,1975,41,9,75,7,Mitte,Land Berlin,F3__932153,
27/1,20467,Gotzkowskystraße,AMERIKANISCHE ROT-EICHE,QUERCUS RUBRA,QUERCUS,22,Gotzkowskystraße,27,1970,46,10,90,11,Mitte,Land Berlin,F3__932154,
6/10,20457,Lessingstraße -doppelt-,HOLLÄNDISCHE LINDE,TILIA INTERMEDIA,TILIA,40,Lessingstraße,6,1955,61,10,110,14,Mitte,Land Berlin,F3__932155,
8ggü/6,20457,Lessingstraße -doppelt-,TATAREN-AHORN,ACER TATARICUM,ACER,114,Lessingstraße,8,1975,41,6,20,6,Mitte,Land Berlin,F3__932156,ggü
8ggü/2,20457,Lessingstraße -doppelt-,SOMMER-EICHE - STIEL-EICHE,QUERCUS ROBUR,QUERCUS,96,Lessingstraße,8,1982,34,5,55,6,Mitte,Land Berlin,F3__932157,ggü
12/2,20214,Elberfelder Straße,SPITZ-AHORN,ACER PLATANOIDES,ACER,19,Elberfelder Straße,12,1988,28,8,50,10,Mitte,Land Berlin,F3__932158,
13/1,20215,Jagowstraße,WINTER-LINDE,TILIA CORDATA,TILIA,6,Jagowstraße,13,1970,46,9,85,13,Mitte,Land Berlin,F3__932159,013
27/2,20214,Elberfelder Straße,SPITZ-AHORN,ACER PLATANOIDES,ACER,47,Elberfelder Straße,27,1980,36,9,75,16,Mitte,Land Berlin,F3__932160,047
32/1,20226,Beusselstraße II,GEMEINE ROSSKASTANIE,AESCULUS HIPPOCASTANUM,AESCULUS,168,Beusselstraße,32,2005,11,,33,,Mitte,Land Berlin,F3__932161,044
56/1,20226,Beusselstraße II,SPITZ-AHORN,ACER PLATANOIDES,ACER,114,Beusselstraße,56,1955,61,14,151,10,Mitte,Land Berlin,F3__932162,
23/3,20235,Wittstocker Straße,SCHEIN-AKAZIE - SILBERREGEN,ROBINIA PSEUDOACACIA,ROBINIA,27,Wittstocker Straße,23,1965,51,10,105,18,Mitte,Land Berlin,F3__932163,
4/1,20235,Wittstocker Straße,PYRAMIDEN-EICHE,QUERCUS ROBUR FASTIGIATA',QUERCUS,3,Wittstocker Straße,4,1975,41,4,75,14,Mitte,Land Berlin,F3__932164,
65/2,20226,Beusselstraße II,BERG-ULME,ULMUS GLABRA,ULMUS,127,Beusselstraße,65,1955,61,15,164,14,Mitte,Land Berlin,F3__932165,115
5/14,20457,Lessingstraße -doppelt-,SÄULENFÖRMIGER SPITZ-AHORN,ACER PLATANOIDES COLUMNARE',ACER,175,Lessingstraße,5,2013,3,2,24,5,Mitte,Land Berlin,F3__932166,
5/10,20457,Lessingstraße -doppelt-,SÄULENFÖRMIGER SPITZ-AHORN,ACER PLATANOIDES COLUMNARE',ACER,171,Lessingstraße,5,2013,3,2,24,5,Mitte,Land Berlin,F3__932167,
7ggü/5,20406,Bundesratufer,GEMEINE ROSSKASTANIE,AESCULUS HIPPOCASTANUM,AESCULUS,35,Bundesratufer,7,1958,58,10,161,16,Mitte,Land Berlin,F3__932168,ggü
10a ggü/3,20433,Levetzowstr. -doppelt-,GEMEINE ROSSKASTANIE,AESCULUS HIPPOCASTANUM,AESCULUS,134,Levetzowstraße,10,1978,38,9,125,13,Mitte,Land Berlin,F3__932169,a ggü
10ggü/1,20433,Levetzowstr. -doppelt-,GEMEINE ROSSKASTANIE,AESCULUS HIPPOCASTANUM,AESCULUS,129,Levetzowstraße,10,1974,42,8,75,9,Mitte,Land Berlin,F3__932170,ggü
15/2,20214,Elberfelder Straße,SPITZ-AHORN,ACER PLATANOIDES,ACER,24,Elberfelder Straße,15,1990,26,6.5,40,10,Mitte,Land Berlin,F3__932171,
15/1,20214,Elberfelder Straße,SPITZ-AHORN,ACER PLATANOIDES,ACER,23,Elberfelder Straße,15,1970,46,11,90,15,Mitte,Land Berlin,F3__932172,023
14/2,20214,Elberfelder Straße,SPITZ-AHORN,ACER PLATANOIDES,ACER,22,Elberfelder Straße,14,1960,56,13,115,17,Mitte,Land Berlin,F3__932173,
64/2,20226,Beusselstraße II,HOLLÄNDISCHE LINDE,TILIA INTERMEDIA,TILIA,125,Beusselstraße,64,1994,22,4,48,6,Mitte,Land Berlin,F3__932174,113
63/1,20226,Beusselstraße II,SPITZ-AHORN,ACER PLATANOIDES,ACER,122,Beusselstraße,63,1988,28,7,70,8,Mitte,Land Berlin,F3__932175,110
73/1,20226,Beusselstraße II,GEWÖHNLICHE ESCHE,FRAXINUS EXCELSIOR,FRAXINUS,138,Beusselstraße,73,1978,38,9,87,10,Mitte,Land Berlin,F3__932176,126
5/25,20457,Lessingstraße -doppelt-,SÄULENFÖRMIGER SPITZ-AHORN,ACER PLATANOIDES COLUMNARE',ACER,138,Lessingstraße,5,2008,8,2,24,7,Mitte,Land Berlin,F3__932177,
5/24,20457,Lessingstraße -doppelt-,SÄULENFÖRMIGER SPITZ-AHORN,ACER PLATANOIDES COLUMNARE',ACER,137,Lessingstraße,5,2008,8,2,24,7,Mitte,Land Berlin,F3__932178,
28/2,20183,Neues Ufer      ß,AMERIKANISCHE ROT-EICHE,QUERCUS RUBRA,QUERCUS,43,Neues Ufer,28,1960,56,10,125,10,Mitte,Land Berlin,F3__932179,
28/4,20183,Neues Ufer      ß,SOMMER-EICHE - STIEL-EICHE,QUERCUS ROBUR,QUERCUS,45,Neues Ufer,28,1975,41,9,85,11,Mitte,Land Berlin,F3__932180,
