EW2014,HA2014,EW_HA2014,alias,EW2013,EW2012,EW2011,EW2010,EW_HA2013,EW_HA2012,EW_HA2011,EW_HA2010
1061,4.06,261,0700221401000000,1086,1091,1064,1058,267,268,262,260
646,2.25,286,0700221551000000,633,648,651,651,280,287,288,288
3,1.96,2,0700221561000000,3,3,4,3,2,2,2,2
1018,3.12,326,0700221571000000,981,1003,979,964,314,321,314,309
666,2.53,263,0700221581000100,650,640,637,632,257,253,252,250
6,1.41,4,0700221581000200,0,6,6,4,0,4,4,3
,,,0700226011000000,,,,,,,,
742,6.77,110,0700230971000000,680,508,498,491,100,75,74,73
396,2.2,180,0700231591000000,392,392,389,370,178,178,176,168
676,2.19,308,0700231601000000,680,680,662,646,310,310,301,294
,,,0700236011000000,,,,,,,,
,,,0700236811000000,,,,,,,,
