KANART,KANART_KLAR,REGENWASSERKAN,GRUENUTZ,KAN_BEB,KAN_VGU,KAN_STR,FLALLE,STR_FLGES,alias,BAUNUTZ,EAG_NR,EAG,AGEB1_NR,AGEB1,BEREICH_NR,BEREICH
1,Mischkanalisation,1,,86,50,89,19046,3561,0200036041000100,Wohnnutzung,,,,,,
1,Mischkanalisation,1,,94,65,93,15345,3133,0200036041000200,Mischnutzungen,,,,,,
1,Mischkanalisation,1,,86,50,89,6730,4547,0200036051000000,Wohnnutzung,,,,,,
1,Mischkanalisation,1,,86,50,89,26366,7531,0200036061000100,Wohnnutzung,,,,,,
1,Mischkanalisation,1,,89,70,88,19469,2153,0200036061000200,Gemeinbedarfs- und Sondernutzungen,,,,,,
1,Mischkanalisation,1,,86,50,89,35104,7897,0200036071000000,Wohnnutzung,,,,,,
1,Mischkanalisation,1,,86,50,89,26645,9829,0200036081000000,Wohnnutzung,,,,,,
1,Mischkanalisation,1,,86,50,89,26275,9289,0200036091000000,Wohnnutzung,,,,,,
1,Mischkanalisation,1,,94,65,93,15326,3877,0200036161000000,Wohnnutzung,,,,,,
1,Mischkanalisation,1,,94,75,92,18956,6892,0200036401000100,Wohnnutzung,,,,,,
1,Mischkanalisation,1,,76,57,89,8250,2686,0200036401000200,Gemeinbedarfs- und Sondernutzungen,,,,,,
0,ohne Kanalisation (unbebaut bzw. unbekannt),0,Park / Grünfläche,71,60,81,6113,3691,0200036401000300,,,,,,,
0,ohne Kanalisation (unbebaut bzw. unbekannt),0,Gewässer,0,0,0,16608,,0200038581000000,,,,,,,
0,ohne Kanalisation (unbebaut bzw. unbekannt),0,Gewässer,0,0,0,14076,,0200038591000000,,,,,,,
0,ohne Kanalisation (unbebaut bzw. unbekannt),0,Gewässer,0,0,0,23886,,0200038601000000,,,,,,,
0,ohne Kanalisation (unbebaut bzw. unbekannt),0,Gewässer,0,0,0,26929,,0200038611000000,,,,,,,
0,ohne Kanalisation (unbebaut bzw. unbekannt),0,Gewässer,0,0,0,17372,,0200038621000000,,,,,,,
0,ohne Kanalisation (unbebaut bzw. unbekannt),0,Gewässer,0,0,0,46080,,0200038631000000,,,,,,,
0,ohne Kanalisation (unbebaut bzw. unbekannt),0,,73,70,95,15221,3559,0200039071000100,Verkehrsflächen,,,,,,
0,ohne Kanalisation (unbebaut bzw. unbekannt),0,,86,78,95,3117,678,0200039071000200,Verkehrsflächen,,,,,,
