SEGM_SEGM,STST_STR,STOR_NAME,ORTSTL,RVA_TYP,SORVT_TYP,HOTLINK,LAENGE,B_PFLICHT,alias,SEGM_BEZ
42560026_42560027.01,Siemensstraße,Mitte,Moabit,Radwege,Radfahrerfurt Z 340,<A HREF=http://fbinter.stadt-berlin.de/fb_daten/fotos/radverkehrsanlagen/dokumente/00002C00/0x002C06/index.htm" TARGET="VMS">Fotos</a>,20.3,nein,01-000905,
42560027_42560011.01,Siemensstraße,Mitte,Moabit,Radwege,Geh-/Radweg baulich unterschieden,<A HREF=http://fbinter.stadt-berlin.de/fb_daten/fotos/radverkehrsanlagen/dokumente/00002C00/0x002C09/index.htm" TARGET="VMS">Fotos</a>,160.8,nein,01-000908,
42560002_42560011.03,Bremer Straße,Mitte,Moabit,Radwege,Geh-/Radweg baulich unterschieden,<A HREF=http://fbinter.stadt-berlin.de/fb_daten/fotos/radverkehrsanlagen/dokumente/00002C00/0x002C0A/index.htm" TARGET="VMS">Fotos</a>,28.4,nein,01-000909,
42560002_42560011.03,Bremer Straße,Mitte,Moabit,Radwege,Geh-/Radweg baulich unterschieden,<A HREF=http://fbinter.stadt-berlin.de/fb_daten/fotos/radverkehrsanlagen/dokumente/00002C00/0x002C0B/index.htm" TARGET="VMS">Fotos</a>,27.3,nein,01-000910,
42560027_42560011.01,Siemensstraße,Mitte,Moabit,Radwege,Radfahrerfurt Z 340,<A HREF=http://fbinter.stadt-berlin.de/fb_daten/fotos/radverkehrsanlagen/dokumente/00002C00/0x002C0C/index.htm" TARGET="VMS">Fotos</a>,27.8,nein,01-000911,
42560011_42560024.01,Quitzowstraße,Mitte,Moabit,Radwege,Geh-/Radweg baulich unterschieden,<A HREF=http://fbinter.stadt-berlin.de/fb_daten/fotos/radverkehrsanlagen/dokumente/00002C00/0x002C0D/index.htm" TARGET="VMS">Fotos</a>,111.1,ja,01-000912,
42560011_42560024.01,Quitzowstraße,Mitte,Moabit,Radfahrstreifen,Radfahrstreifen Z 295 ohne ruh.Verkehr,<A HREF=http://fbinter.stadt-berlin.de/fb_daten/fotos/radverkehrsanlagen/dokumente/00002C00/0x002C0E/index.htm" TARGET="VMS">Fotos</a>,51.7,ja,01-000913,
42560011_42560024.01,Quitzowstraße,Mitte,Moabit,Radwege,Radfahrerfurt Z 340,<A HREF=http://fbinter.stadt-berlin.de/fb_daten/fotos/radverkehrsanlagen/dokumente/00002C00/0x002C0F/index.htm" TARGET="VMS">Fotos</a>,21.4,ja,01-000914,
42560024_42560036.01,Quitzowstraße,Mitte,Moabit,Radwege,Radfahrerfurt Z 340,<A HREF=http://fbinter.stadt-berlin.de/fb_daten/fotos/radverkehrsanlagen/dokumente/00002C00/0x002C10/index.htm" TARGET="VMS">Fotos</a>,22.5,nein,01-000915,
42560027_42560011.01,Siemensstraße,Mitte,Moabit,Radwege,Geh-/Radweg baulich unterschieden,<A HREF=http://fbinter.stadt-berlin.de/fb_daten/fotos/radverkehrsanlagen/dokumente/00002C00/0x002C11/index.htm" TARGET="VMS">Fotos</a>,306.9,nein,01-000916,
42560013_42560026.01,Siemensstraße,Mitte,Moabit,Radwege,Geh-/Radweg baulich unterschieden,<A HREF=http://fbinter.stadt-berlin.de/fb_daten/fotos/radverkehrsanlagen/dokumente/00002C00/0x002C13/index.htm" TARGET="VMS">Fotos</a>,471,nein,01-000917,
41570003_41570004.01,Seestraße,Mitte,Moabit,Radwege,Geh-/Radweg baulich unterschieden,<A HREF=http://fbinter.stadt-berlin.de/fb_daten/fotos/radverkehrsanlagen/dokumente/00003000/0x003198/index.htm" TARGET="VMS">Fotos</a>,237.4,nein,01-001015,
41570002_41570003.01,Seestraße,Mitte,Moabit,Radwege,Geh-/Radweg durch Markierung unterschieden,<A HREF=http://fbinter.stadt-berlin.de/fb_daten/fotos/radverkehrsanlagen/dokumente/00003000/0x003199/index.htm" TARGET="VMS">Fotos</a>,49,nein,01-001016,
41570003_41570004.01,Seestraße,Mitte,Moabit,Radwege,Geh-/Radweg baulich unterschieden,<A HREF=http://fbinter.stadt-berlin.de/fb_daten/fotos/radverkehrsanlagen/dokumente/00003000/0x0031A0/index.htm" TARGET="VMS">Fotos</a>,588.4,nein,01-001017,
42570003_43570001.01,Friedrich-Krause-Ufer,Mitte,Moabit,Radwege,Radweg baulich getrennt,<A HREF=http://fbinter.stadt-berlin.de/fb_daten/fotos/radverkehrsanlagen/dokumente/00003000/0x003215/index.htm" TARGET="VMS">Fotos</a>,833.3,nein,01-001058,
42570003_43570001.01,Friedrich-Krause-Ufer,Mitte,Moabit,Schutzstreifen,Schutzstreifen Z 340 ohne ruhenden Verkehr,<A HREF=http://fbinter.stadt-berlin.de/fb_daten/fotos/radverkehrsanlagen/dokumente/00003000/0x003217/index.htm" TARGET="VMS">Fotos</a>,13.3,nein,01-001059,
