ID_ORIG,NAME,LAENGE,DTV,SLKW,LLKW,BUS,KRAD,N_BETROF,EM_NOX,EM_PM10,EM_PM25,GNO2_M,GPM10_M,GPM25_M,MB2_EMNOX,MB2_EM_PM1,MB2_EMPM25,MB2_GNO2,MB2_GPM10,MB2_GPM25,alias
5811,Sömmeringstr.,171.51,12364,309,977,532,173,143,7.78,1.07,0.64,30.6,27.94,18.49,0,0,0,0,0,0,5180
5812,Sömmeringstr.,228.96,12364,309,977,532,173,33,7.78,1.07,0.64,21.37,25.1,16.78,0,0,0,0,0,0,5181
5826,Sömmeringstr.,90.7,12513,313,989,526,175,80,7.92,1.11,0.66,27.82,27.03,17.96,0,0,0,0,0,0,5194
5831,Lise-Meitner-Str.,122.45,16841,505,1364,522,236,66,10.37,1.6,0.95,27.61,27.2,18.04,0,0,0,0,0,0,5198
5832,Lise-Meitner-Str.,195.66,16841,505,1364,522,236,37,10.37,1.6,0.95,22.35,25.38,16.96,0,0,0,0,0,0,5199
5833,Gaußstr.,84.96,19432,1477,1574,97,272,1,13.21,2.22,1.31,20.83,24.88,16.65,0,0,0,0,0,0,5200
5834,Gaußstr.,79.46,19432,1477,1574,97,272,22,13.21,2.22,1.31,25.02,26.57,17.65,0,0,0,0,0,0,5201
5835,Gaußstr.,196.69,19432,1477,1574,97,272,5,13.21,2.22,1.31,19.72,24.73,16.56,0,0,0,0,0,0,5202
5836,Lise-Meitner-Str.,83.56,9623,346,779,269,135,33,5.75,0.84,0.5,23.71,25.7,17.15,0,0,0,0,0,0,5203
5837,Lise-Meitner-Str.,174.69,9623,346,779,269,135,22,5.75,0.84,0.5,20.49,24.68,16.54,0,0,0,0,0,0,5204
5917,Otto-Suhr-Allee,350.24,29337,616,2318,704,411,271,15.59,2.39,1.44,32.6,29.11,19.18,0,0,0,0,0,0,5277
5923,Cauerstr.,83.02,16550,348,1307,232,232,19,8,1.33,0.79,23.79,25.97,17.3,0,0,0,0,0,0,5283
5924,Cauerstr.,260.99,16550,348,1307,232,232,204,8,1.33,0.79,32.41,29.34,19.32,0,0,0,0,0,0,5284
5941,Dovestr.,75.89,14600,307,1153,423,204,4,8.16,1.23,0.73,20.41,24.91,16.67,0,0,0,0,0,0,5301
5942,Dovestr.,119.06,14600,307,1153,423,204,125,8.16,1.23,0.73,27.21,27.19,18.04,0,0,0,0,0,0,5302
5943,Dovestr.,122.98,14600,307,1153,423,204,59,8.16,1.23,0.73,23.36,25.95,17.29,0,0,0,0,0,0,5303
5944,Dovestr.,165.71,14600,307,1153,423,204,175,8.16,1.23,0.73,34.32,29.78,19.59,0,0,0,0,0,0,5304
5964,Kaiserin-Augusta-Allee,107.52,15172,531,1199,319,212,111,8.38,1.25,0.75,30.1,28.09,18.59,0,0,0,0,0,0,5321
5965,Kaiserin-Augusta-Allee,113.25,15172,531,1199,319,212,103,8.38,1.25,0.75,28.75,27.66,18.34,0,0,0,0,0,0,5322
5966,Kaiserin-Augusta-Allee,162.55,15172,531,1199,319,212,16,8.38,1.25,0.75,19.68,24.75,16.57,0,0,0,0,0,0,5323
5992,Huttenstr.,24.87,7308,365,541,365,102,5,5.5,0.74,0.44,20.01,24.77,16.6,0,0,0,0,0,0,5346
5993,Huttenstr.,159.24,7308,365,541,365,102,129,5.5,0.74,0.44,25.91,26.66,17.72,0,0,0,0,0,0,5347
5994,Huttenstr.,24.68,7308,365,541,365,102,5,5.5,0.74,0.44,19.84,24.92,16.69,0,0,0,0,0,0,5348
5995,Huttenstr.,137.26,7308,365,541,365,102,121,5.5,0.74,0.44,26.23,26.91,17.87,0,0,0,0,0,0,5349
6050,Huttenstr.,124.6,7308,190,541,365,102,92,4.92,0.66,0.4,24.5,26.52,17.64,0,0,0,0,0,0,5401
6051,Huttenstr.,94.11,7308,190,541,365,102,91,4.92,0.66,0.4,26.33,27.06,17.96,0,0,0,0,0,0,5402
6153,Otto-Suhr-Allee,35.7,22820,434,1803,685,319,0,12.63,1.84,1.11,22.31,25.31,16.91,0,0,0,0,0,0,5498
6154,Otto-Suhr-Allee,114.23,22820,434,1803,685,319,81,12.63,1.84,1.11,28.97,27.58,18.27,0,0,0,0,0,0,5499
6155,Otto-Suhr-Allee,277.44,22820,434,1803,685,319,199,12.63,1.84,1.11,24.81,26.15,17.42,0,0,0,0,0,0,5500
6186,Str. des 17. Juni,371.5,51847,1089,4096,363,726,0,22.69,3.7,2.24,21.32,24.99,16.73,0,0,0,0,0,0,5529
6275,Marchstr.,20.57,11298,429,893,271,158,0,6.61,1,0.6,20.8,25.04,16.74,0,0,0,0,0,0,5610
6276,Marchstr.,241.6,11298,429,893,271,158,72,6.61,1,0.6,22.22,25.42,16.97,0,0,0,0,0,0,5611
6277,Alt-Moabit,333.83,20123,463,1590,342,282,288,9.97,1.53,0.92,34.03,29.9,19.66,0,0,0,0,0,0,5612
6278,Helmholtzstr.,186.91,19161,402,1514,422,268,155,9.86,1.48,0.89,35.35,30.15,19.83,0,0,0,0,0,0,5613
6279,Helmholtzstr.,64.95,19161,402,1514,422,268,8,9.86,1.48,0.89,21.65,25.42,16.97,0,0,0,0,0,0,5614
6280,Beusselstr.,25.92,16869,624,1333,135,236,5,7.1,0.95,0.58,21.37,25.49,17.03,0,0,0,0,0,0,5615
6281,Beusselstr.,151.35,16869,624,1333,135,236,129,7.1,0.95,0.58,31.64,28.7,19.01,0,0,0,0,0,0,5616
6282,Levetzowstr.,186.02,15428,324,1219,309,216,5,7.73,1.16,0.7,21.73,25.66,17.07,0,0,0,0,0,0,5617
6283,Levetzowstr.,305.54,15428,324,1219,309,216,251,7.73,1.16,0.7,28.01,27.65,18.3,0,0,0,0,0,0,5618
6284,Levetzowstr.,44,15019,315,1187,315,210,7,6.51,0.82,0.51,20.95,25.17,16.82,0,0,0,0,0,0,5619
6285,Levetzowstr.,139.06,15019,315,1187,315,210,133,6.51,0.82,0.51,27.3,26.98,17.94,0,0,0,0,0,0,5620
6286,Levetzowstr.,97.64,15019,315,1187,315,210,74,6.51,0.82,0.51,24.91,26.35,17.54,0,0,0,0,0,0,5621
6287,Turmstr.,169,19561,391,1545,880,274,158,12.43,1.72,1.03,37.49,30.79,20.18,0,0,0,0,0,0,5622
6288,Turmstr.,138.74,19561,391,1545,880,274,123,12.43,1.72,1.03,36.16,30.33,19.89,0,0,0,0,0,0,5623
6289,Beusselbrücke,102.11,36133,1771,2927,578,506,42,22.15,3.65,2.16,27.6,28.05,18.5,0,0,0,0,0,0,5624
