Bauwerksfunktion_schluessel,Bauwerksfunktion_bezeichnung,Beschreibung_schluessel,Beschreibung_bezeichnung,AAA-Beschreibung,alias,Name,ArchaeologischerTyp_schluessel,ArchaeologischerTyp_bezeichnung,Bahnkategorie_schluessel,Bahnkategorie_bezeichnung,Bahnhofskategorie_schluessel,Bahnhofskategorie_bezeichnug,Art_schluessel,Art_bezeichnung
1610,Überdachung,4200,Aus Katasterkarten digitalisiert,AX_SonstigesBauwerkOderSonstigeEinrichtung,F3__4668,,,,,,,,,
1610,Überdachung,4200,Aus Katasterkarten digitalisiert,AX_SonstigesBauwerkOderSonstigeEinrichtung,F3__4669,,,,,,,,,
1610,Überdachung,4200,Aus Katasterkarten digitalisiert,AX_SonstigesBauwerkOderSonstigeEinrichtung,F3__4684,,,,,,,,,
1610,Überdachung,4200,Aus Katasterkarten digitalisiert,AX_SonstigesBauwerkOderSonstigeEinrichtung,F3__4706,,,,,,,,,
1610,Überdachung,4200,Aus Katasterkarten digitalisiert,AX_SonstigesBauwerkOderSonstigeEinrichtung,F3__4724,,,,,,,,,
1610,Überdachung,4200,Aus Katasterkarten digitalisiert,AX_SonstigesBauwerkOderSonstigeEinrichtung,F3__4725,,,,,,,,,
1610,Überdachung,4200,Aus Katasterkarten digitalisiert,AX_SonstigesBauwerkOderSonstigeEinrichtung,F3__4728,,,,,,,,,
1610,Überdachung,4200,Aus Katasterkarten digitalisiert,AX_SonstigesBauwerkOderSonstigeEinrichtung,F3__4733,,,,,,,,,
1610,Überdachung,4200,Aus Katasterkarten digitalisiert,AX_SonstigesBauwerkOderSonstigeEinrichtung,F3__4740,,,,,,,,,
1610,Überdachung,4200,Aus Katasterkarten digitalisiert,AX_SonstigesBauwerkOderSonstigeEinrichtung,F3__4746,,,,,,,,,
1611,Carport,4200,Aus Katasterkarten digitalisiert,AX_SonstigesBauwerkOderSonstigeEinrichtung,F3__4764,,,,,,,,,
1610,Überdachung,4200,Aus Katasterkarten digitalisiert,AX_SonstigesBauwerkOderSonstigeEinrichtung,F3__4771,,,,,,,,,
1620,Treppe,9998,Nach Quellenlage nicht zu spezifizieren,AX_SonstigesBauwerkOderSonstigeEinrichtung,F3__4775,,,,,,,,,
1620,Treppe,9998,Nach Quellenlage nicht zu spezifizieren,AX_SonstigesBauwerkOderSonstigeEinrichtung,F3__4788,,,,,,,,,
1610,Überdachung,4200,Aus Katasterkarten digitalisiert,AX_SonstigesBauwerkOderSonstigeEinrichtung,F3__4795,,,,,,,,,
1610,Überdachung,4200,Aus Katasterkarten digitalisiert,AX_SonstigesBauwerkOderSonstigeEinrichtung,F3__4801,,,,,,,,,
1610,Überdachung,4200,Aus Katasterkarten digitalisiert,AX_SonstigesBauwerkOderSonstigeEinrichtung,F3__4809,,,,,,,,,
1620,Treppe,9998,Nach Quellenlage nicht zu spezifizieren,AX_SonstigesBauwerkOderSonstigeEinrichtung,F3__4831,,,,,,,,,
1610,Überdachung,4200,Aus Katasterkarten digitalisiert,AX_SonstigesBauwerkOderSonstigeEinrichtung,F3__4837,,,,,,,,,
1610,Überdachung,4200,Aus Katasterkarten digitalisiert,AX_SonstigesBauwerkOderSonstigeEinrichtung,F3__4873,,,,,,,,,
1610,Überdachung,4200,Aus Katasterkarten digitalisiert,AX_SonstigesBauwerkOderSonstigeEinrichtung,F3__4880,,,,,,,,,
1610,Überdachung,4200,Aus Katasterkarten digitalisiert,AX_SonstigesBauwerkOderSonstigeEinrichtung,F3__4884,,,,,,,,,
1610,Überdachung,4200,Aus Katasterkarten digitalisiert,AX_SonstigesBauwerkOderSonstigeEinrichtung,F3__4889,,,,,,,,,
1610,Überdachung,4200,Aus Katasterkarten digitalisiert,AX_SonstigesBauwerkOderSonstigeEinrichtung,F3__4931,,,,,,,,,
1610,Überdachung,4200,Aus Katasterkarten digitalisiert,AX_SonstigesBauwerkOderSonstigeEinrichtung,F3__4937,,,,,,,,,
1620,Treppe,9998,Nach Quellenlage nicht zu spezifizieren,AX_SonstigesBauwerkOderSonstigeEinrichtung,F3__4943,,,,,,,,,
1610,Überdachung,4200,Aus Katasterkarten digitalisiert,AX_SonstigesBauwerkOderSonstigeEinrichtung,F3__4956,,,,,,,,,
1620,Treppe,9998,Nach Quellenlage nicht zu spezifizieren,AX_SonstigesBauwerkOderSonstigeEinrichtung,F3__4958,,,,,,,,,
1610,Überdachung,4200,Aus Katasterkarten digitalisiert,AX_SonstigesBauwerkOderSonstigeEinrichtung,F3__4978,,,,,,,,,
1610,Überdachung,4200,Aus Katasterkarten digitalisiert,AX_SonstigesBauwerkOderSonstigeEinrichtung,F3__4982,,,,,,,,,
1610,Überdachung,4200,Aus Katasterkarten digitalisiert,AX_SonstigesBauwerkOderSonstigeEinrichtung,F3__4989,,,,,,,,,
1610,Überdachung,4200,Aus Katasterkarten digitalisiert,AX_SonstigesBauwerkOderSonstigeEinrichtung,F3__4990,,,,,,,,,
1610,Überdachung,4200,Aus Katasterkarten digitalisiert,AX_SonstigesBauwerkOderSonstigeEinrichtung,F3__4993,,,,,,,,,
1610,Überdachung,4200,Aus Katasterkarten digitalisiert,AX_SonstigesBauwerkOderSonstigeEinrichtung,F3__4998,,,,,,,,,
1610,Überdachung,4200,Aus Katasterkarten digitalisiert,AX_SonstigesBauwerkOderSonstigeEinrichtung,F3__5001,,,,,,,,,
1610,Überdachung,4200,Aus Katasterkarten digitalisiert,AX_SonstigesBauwerkOderSonstigeEinrichtung,F3__5003,,,,,,,,,
1610,Überdachung,4200,Aus Katasterkarten digitalisiert,AX_SonstigesBauwerkOderSonstigeEinrichtung,F3__5007,,,,,,,,,
1610,Überdachung,4200,Aus Katasterkarten digitalisiert,AX_SonstigesBauwerkOderSonstigeEinrichtung,F3__5018,,,,,,,,,
1610,Überdachung,4200,Aus Katasterkarten digitalisiert,AX_SonstigesBauwerkOderSonstigeEinrichtung,F3__5028,,,,,,,,,
1610,Überdachung,4200,Aus Katasterkarten digitalisiert,AX_SonstigesBauwerkOderSonstigeEinrichtung,F3__5032,,,,,,,,,
1610,Überdachung,4200,Aus Katasterkarten digitalisiert,AX_SonstigesBauwerkOderSonstigeEinrichtung,F3__5036,,,,,,,,,
1610,Überdachung,4200,Aus Katasterkarten digitalisiert,AX_SonstigesBauwerkOderSonstigeEinrichtung,F3__5048,,,,,,,,,
1610,Überdachung,4200,Aus Katasterkarten digitalisiert,AX_SonstigesBauwerkOderSonstigeEinrichtung,F3__5054,,,,,,,,,
