ELEM_NR,STRSCHL,STR_NAME,STRKLASSE1,STRKLASSE,STRKLASSE2,VRICHT,BEZIRK,STADTTEIL,EBENE,VON_VP,BIS_VP,LAENGE,GILT_VON,OKSTRA_ID,alias,STR_BEZ
41560015_41560016.02,04688,Waldstraße,V,G,STRA,B,Mitte,Moabit,0,41560015,41560016,208.42,20141204,6B077591259A4C8FB70CAF5B42369FCA,Waldstraße,
41560016_42560012.02,04835,Wiclefstraße,V,G,STRA,B,Mitte,Moabit,0,41560016,42560012,196.25,20141204,2FD4A7C90A9F407CA0811F6282E0DD5D,Wiclefstraße,
41560005_41560016.02,04835,Wiclefstraße,V,G,STRA,B,Mitte,Moabit,0,41560005,41560016,190.48,20141204,AA5ECEF8DCAE47AC87E3B2BCA5D492FA,Wiclefstraße,
41560016_41560014.02,04688,Waldstraße,V,G,STRA,B,Mitte,Moabit,0,41560016,41560014,216.27,20141204,1290A7F3CAD24DF8816ACCEBCD15074F,Waldstraße,
41560001_41560002.02,00508,Berlichingenstraße,V,G,STRA,B,Mitte,Moabit,0,41560001,41560002,332.74,20141204,4B5589A58D9C4F2DA5313BA732349981,Berlichingenstraße,
41560001_41560012.02,04927,Wittstocker Straße,V,G,STRA,B,Mitte,Moabit,0,41560001,41560012,126.25,20141204,E063C1DD96924BAA86D35BF96736D460,Wittstocker Straße,
41560003_41560001.02,00508,Berlichingenstraße,V,G,STRA,B,Mitte,Moabit,0,41560003,41560001,166.6,20141204,EA407937FAA745C7B3A97436F0D8379B,Berlichingenstraße,
41560013_41560012.02,03787,Rostocker Straße,V,G,STRA,B,Mitte,Moabit,0,41560013,41560012,187.41,20141204,E7C02EDAD7BE41BE84C8ACD64A34BC2A,Rostocker Straße,
41560012_41560005.02,04927,Wittstocker Straße,V,G,STRA,B,Mitte,Moabit,0,41560012,41560005,130.26,20141204,494D485CB0EF4FCD95228B0866443C8A,Wittstocker Straße,
41560012_41560011.02,03787,Rostocker Straße,V,G,STRA,B,Mitte,Moabit,0,41560012,41560011,372.08,20141204,0F403D44099F408A88FAE64D1DD1EE33,Rostocker Straße,
40560005_40560002.02,04579,Ufnaustraße,V,G,STRA,B,Mitte,Moabit,0,40560005,40560002,222.12,20141204,AADEA3D550694330AF5ED2CBCBEF45A2,Ufnaustraße,
40550004_40550003.02,02432,Klarenbachstraße,V,G,STRA,B,Mitte,Moabit,0,40550004,40550003,196.44,20141204,922734E31977412FAD8E01B404377922,Klarenbachstraße,
40550001_40550005.02,03216,Neues Ufer,V,G,STRA,B,Mitte,Moabit,0,40550001,40550005,352.97,20141204,C210DBCBE473442F80E88DCC9F963750,Neues Ufer,
42550027_42550026.02,03365,Ottostraße,V,G,STRA,B,Mitte,Moabit,0,42550027,42550026,146.26,20141204,1E8727BF525842AE9B9E7F9D697F2905,Ottostraße,
42550003_42550027.02,03365,Ottostraße,V,G,STRA,B,Mitte,Moabit,0,42550003,42550027,87.93,20141204,BB1DB859DEF04A9DAFA1EEE3862B39FC,Ottostraße,
41550013_42550027.02,05049,Zwinglistraße,V,G,STRA,B,Mitte,Moabit,0,41550013,42550027,337.36,20141204,D7CB23F1D9734CE6B437A229B0B9FF11,Zwinglistraße,
